query,response,intent
"Payment options","Our payment options include major credit cards, PayPal, and bank transfers.","payment_info"
"How can I pay?","You can pay using credit/debit cards, PayPal, or bank transfer during checkout.","payment_info"
"Do you ship internationally?","Yes, we ship to most countries worldwide. Shipping costs and delivery times vary by location.","shipping_info"
"Shipping to Europe","Yes, we ship to Europe. Delivery typically takes 7-14 business days depending on the specific country.","shipping_info"
"How long does shipping take?","Domestic shipping typically takes 3-5 business days, while international shipping can take 7-21 days depending on location.","shipping_info"
"Shipping costs","Shipping costs depend on your location and the size of your order. You can calculate exact costs during checkout.","shipping_info"
"Free shipping?","Free shipping is available for orders over $50 within the continental US.","shipping_info"
"How can I contact customer support?","You can reach our customer support team via email at support@example.com or by calling our toll-free number: 1-800-123-4567.","contact_info"
"Customer service phone number","Our customer service can be reached at 1-800-123-4567 during business hours.","contact_info"
"Email support","You can email our support team at support@example.com for assistance.","contact_info"
"Live chat support","Live chat support is available on our website during business hours.","contact_info"
"How to get help","For assistance, you can contact us via email, phone, or live chat on our website.","contact_info"
"What is your warranty policy?","Our products come with a 1-year manufacturer warranty. Extended warranty options are available at checkout.","warranty_info"
"Warranty information","All products include a standard 1-year warranty against manufacturing defects.","warranty_info"
"Extended warranty","Extended warranty options are available for purchase during checkout.","warranty_info"
"How to claim warranty","To claim warranty service, contact our support team with your order number and a description of the issue.","warranty_info"
"Is the warranty transferable?","Our standard warranty is not transferable and applies only to the original purchaser.","warranty_info"
"How do I update my shipping address?","You can update your shipping address by logging into your account and editing your profile information.","account_help"
"Change delivery address","To change your delivery address for an order that hasn't shipped, contact customer service immediately.","account_help"
"Address update","You can update your address in your account settings or contact customer service for assistance.","account_help"
"Wrong shipping address","If you entered the wrong shipping address, please contact customer service immediately to update it before shipping.","account_help"
"Do you offer student discounts?","Yes, we offer a 10% student discount. Please provide your student ID during checkout to apply the discount.","discount_info"
"Student pricing","Students can receive a 10% discount by verifying their status during checkout.","discount_info"
"Discount codes","We regularly offer promotional discount codes through our newsletter and social media channels.","discount_info"
"Bulk order discounts","Discounts are available for bulk orders. Please contact our sales team for a custom quote.","discount_info"
"Promo codes","Promotional codes can be entered during checkout to receive discounts on your order.","discount_info"
"Hi","Hello! How can I assist you today?","greeting"
"Hello","Hi there! How can I help you today?","greeting"
"Hey","Hello! How can I assist you today?","greeting"
"Good morning","Good morning! How can I assist you?","greeting"
"Good afternoon","Good afternoon! How can I help you today?","greeting"
"Good evening","Good evening! How can I assist you?","greeting"
"How are you?","I'm just a bot, but I'm functioning properly. How can I help you today?","greeting"
"Greetings","Hello! How can I assist you today?","greeting"
"Hi there","Hello! How can I help you today?","greeting"
"Hey there","Hi! How can I assist you today?","greeting"
"Hello there","Hi there! How can I help you today?","greeting"
"Good day","Good day! How can I assist you?","greeting"
"Morning","Good morning! How can I help you today?","greeting"
"Afternoon","Good afternoon! How can I assist you?","greeting"
"Evening","Good evening! How can I help you today?","greeting"
"Howdy","Howdy! How can I help you today?","greeting"
"Yo","Hello there! How can I assist you today?","greeting"
"Hiya","Hi! How can I help you today?","greeting"
"Sup","Hello! How can I assist you today?","greeting"
"Heya","Hey there! How can I help you today?","greeting"
"Hey!","Hello! How can I assist you today?","greeting"
"Hi!","Hi there! How can I help you today?","greeting"
"Hello!","Hello! How can I assist you today?","greeting"
"How r u","I'm doing well! How can I help you today?","greeting"
"How r u?","I'm doing well! How can I help you today?","greeting"
"How you doing","I'm doing well! How can I assist you today?","greeting"
"What's up","Hello there! How can I help you today?","greeting" 
